loggingTime(txt),motionTimestamp_sinceReboot(s),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionRoll(rad),motionPitch(rad),motionYaw(rad),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),sequence,label
2026-06-07T14:50:02.808445+02:00,1931.8838816666669,1931.8838816666669,-0.050354039296507835,-0.040863100439310074,-1.0182494521141052,-0.023648854345083237,0.01472790539264679,-0.020153045654296875,0.0013304401654750109,0.19316835701465607,-0.01117393933236599,-0.0267051849514246,-0.05559100583195686,-0.9980964064598083,-0.026749734401053212,0.0556196793473982,0.5640374976801453,0.03042600447342551,-0.005103496315165163,0.277805496853942,0.9601419315743099,6335,0
2026-06-07T14:50:02.826317+02:00,1931.9040336666667,1931.9040336666667,-0.036468543112277985,-0.05203253775835037,-0.9815673828125,-0.013523131608963013,0.003909077495336533,0.01660299301147461,0.03257368505001068,0.198552206158638,-0.025096945464611053,-0.022945411503314972,-0.055941615253686905,-0.9981703758239746,-0.022983422903579312,0.05597083394604343,0.5637132980418023,0.03007082404189465,-0.003251371511242149,0.27770337255229083,0.9601906566669166,6336,0
2026-06-07T14:50:02.842297+02:00,1931.9241846666669,1931.9241846666669,-0.013977086171507835,-0.05622870475053787,-0.9835205078125,0.004794007167220116,0.00024196133017539978,0.01470726728439331,0.013114980421960354,0.1072973906993866,-0.029482504352927208,-0.01877109333872795,-0.05647066608071327,-0.9982277750968933,-0.018802203568794848,0.056500723638799,0.5631291453773976,0.029744206462749233,-0.0011789427637032496,0.2774807170650732,0.9602699397274913,6337,0
2026-06-07T14:50:02.862749+02:00,1931.9443356666668,1931.9443356666668,-0.0031128302216529846,-0.060226503759622574,-0.97467041015625,0.017848655581474304,-0.0038335733115673065,0.02351820468902588,-0.011747172102332115,-0.2723037302494049,-0.020427625626325607,-0.02096148580312729,-0.05639293044805527,-0.9981886148452759,-0.020996438421917712,0.05642286482753506,0.5626345570093653,0.030010682979480015,-0.002250716413845566,0.2772111187485691,0.9603376813728604,6338,0
2026-06-07T14:50:02.882966+02:00,1931.9644866666667,1931.9644866666667,-0.027069129049777985,-0.04965217038989067,-1.0278472900390625,-0.0018926113843917847,0.00664200633764267,-0.029750525951385498,0.0009672915912233293,-0.09410416334867477,-0.02605029009282589,-0.0251765176653862,-0.05629417672753334,-0.998096764087677,-0.02521917808436693,0.05632395187312874,0.5622118204106795,0.030547520818466463,-0.004298533905895026,0.27694515312218326,0.9603904187957977,6339,0
2026-06-07T14:50:02.904962+02:00,1931.9846376666667,1931.9846376666667,-0.029449500143527985,-0.05519110709428787,-1.0003509521484375,-0.00021178647875785828,0.0007535777986049652,-0.002345263957977295,-0.026838505640625954,-0.3527866005897522,-0.01035215426236391,-0.029237713664770126,-0.05594468489289284,-0.9980056881904602,-0.029287761490997884,0.05597390884061006,0.5617383606729369,0.030941302121174998,-0.006308162471889938,0.2766588866523832,0.9604492913289668,6340,0
2026-06-07T14:50:02.923410+02:00,1932.0047886666669,1932.0047886666669,-0.023483313620090485,-0.05361945182085037,-0.979248046875,0.0123516283929348,0.001817990094423294,0.01857084035873413,-0.029968202114105225,-0.29335442185401917,-0.014050552621483803,-0.035834942013025284,-0.055437441915273666,-0.9978188872337341,-0.035897843378327014,0.05546587609530358,0.5614749115587866,0.031610349923872315,-0.009557103996570051,0.27643495004004437,0.9604651001622658,6341,0
2026-06-07T14:50:02.943307+02:00,1932.0249396666668,1932.0249396666668,-0.036117590963840485,-0.05303961783647537,-1.0027618408203125,0.006958860903978348,0.0019506439566612244,-0.005204558372497559,-0.02159048058092594,-0.4420943558216095,-0.01952088437974453,-0.04307645186781883,-0.0549902617931366,-0.9975572824478149,-0.04315512335822457,0.055018015326849294,0.5611199709457523,0.032395900072148404,-0.013110098253896021,0.27615432028045445,0.9604777689355292,6342,0
2026-06-07T14:50:02.963461+02:00,1932.0450906666667,1932.0450906666667,-0.019943278282880783,-0.05369574949145317,-0.9759063720703125,0.03427039831876755,0.00099920853972435,0.021123886108398438,-0.008385570719838142,-0.6881574392318726,-0.0570070743560791,-0.05421367660164833,-0.05469495803117752,-0.9970302581787109,-0.05432166083068335,0.05472226468821163,0.5603793906102709,0.0337884135623167,-0.018526004754235104,0.2756184668521817,0.960494571641138,6343,0
2026-06-07T14:50:02.983738+02:00,1932.0652416666667,1932.0652416666667,-0.018676795065402985,-0.04888922721147537,-0.9925383925437927,0.05337449163198471,0.0054607875645160675,0.00338059663772583,-0.02212311327457428,-1.0962319374084473,-0.06536321341991425,-0.0720512866973877,-0.05435001477599144,-0.9959189891815186,-0.07222070687444905,0.05437680649468569,0.5590464237162376,0.036069792038869904,-0.027193041526379847,0.27467226965663133,0.96047631803638,6344,0
2026-06-07T14:50:03.005052+02:00,1932.0853926666668,1932.0853926666668,-0.03123478591442108,-0.05087287351489067,-1.0013274550437927,0.0678536519408226,0.0027168914675712585,-0.007692933082580566,-0.023773955181241035,-1.564728856086731,-0.07775269448757172,-0.09908843785524368,-0.05358976498246193,-0.9936345219612122,-0.0993946066804277,0.05361544752305171,0.5574577940665344,0.0394010652264602,-0.04037673222780301,0.27341519822412946,0.9602403890043522,6345,0
2026-06-07T14:50:03.024222+02:00,1932.1055436666668,1932.1055436666668,-0.06872564554214478,-0.04194647818803787,-1.009552001953125,0.05905884504318237,0.011029750108718872,-0.019165873527526855,-0.16227196156978607,-0.7822365164756775,0.04565625265240669,-0.12778449058532715,-0.052976228296756744,-0.9903861284255981,-0.1283160048981412,0.05300104017392428,0.5560344574954904,0.04301740865223398,-0.05437322300678768,0.27215509194205856,0.9597524695809158,6346,0
2026-06-07T14:50:03.044205+02:00,1932.1256946666667,1932.1256946666667,-0.18273931741714478,-0.04026801511645317,-1.0336150527000427,-0.046967148780822754,0.011592887341976166,-0.04423326253890991,-0.04751496762037277,-0.31071236729621887,-0.04319465532898903,-0.13577216863632202,-0.05186090245842934,-0.9893817901611328,-0.13637746353418956,0.051884178694904574,0.555034228368091,0.043549547873717814,-0.05841687129562668,0.2715401657487787,0.9596650403101382,6347,0
2026-06-07T14:50:03.064481+02:00,1932.1458456666667,1932.1458456666667,-0.12718205153942108,-0.07685858383774757,-0.9364166259765625,0.017306074500083923,-0.027928415685892105,0.0518794059753418,-0.07770968228578568,-0.4608158469200134,-0.06757482886314392,-0.144488126039505,-0.04893016815185547,-0.9882960319519043,-0.1451707592275976,0.04894971511582919,0.5536477621775009,0.04329308712189915,-0.06306900033108896,0.2707933343142416,0.9595931464197314,6348,0
2026-06-07T14:50:03.084420+02:00,1932.1659966666668,1932.1659966666668,-0.1450805962085724,-0.05500800162553787,-1.0463256239891052,0.006356552243232727,-0.006264768540859222,-0.059061288833618164,-0.027720067650079727,-0.34229427576065063,-0.08659093081951141,-0.15143714845180511,-0.04874323308467865,-0.9872643351554871,-0.15220435618702172,0.04876255423303072,0.5521635518180986,0.044106113184278165,-0.06650170565920407,0.26993482481245057,0.9595663555559856,6349,0
2026-06-07T14:50:03.105909+02:00,1932.186148666667,1932.186148666667,-0.10658267140388489,-0.054504457861185074,-0.9341277480125427,0.05027616024017334,-0.0071987733244895935,0.052359700202941895,-0.15265166759490967,-0.19263525307178497,-0.10258274525403976,-0.15685883164405823,-0.04730568453669548,-0.9864874482154846,-0.1576873164740476,0.047323344698287986,0.5499210447541082,0.044078577072812285,-0.06937835351272614,0.2687962432510931,0.9596834838891317,6350,0
