,Vorhand,Rueckhand,Schlaeger drehen,Aufschlag von unten,Kein Schlag / Other
Vorhand,166,0,0,0,4
Rueckhand,0,85,0,0,10
Schlaeger drehen,0,0,47,0,6
Aufschlag von unten,2,0,0,36,0
Kein Schlag / Other,2,2,17,0,0
