label,precision,recall,f1-score,support
Vorhand,0.9825581395348837,0.9941176470588236,0.9883040935672515,170.0
Rueckhand,0.9770114942528736,0.8947368421052632,0.9340659340659341,95.0
Aufschlag von unten,1.0,0.9736842105263158,0.9866666666666667,38.0
Kein Schlag / Schlaeger drehen,0.8641975308641975,0.9459459459459459,0.9032258064516129,74.0
accuracy,0.9575596816976127,0.9575596816976127,0.9575596816976127,0.9575596816976127
macro avg,0.9559417911629887,0.9521211614090872,0.9530656251878663,377.0
weighted avg,0.9596859229679148,0.9575596816976127,0.9577718903274516,377.0
