feature,importance
motionGravityZ(G)__std,0.03830083261228821
motionRotationRateY(rad/s)__mean,0.03511105199006411
motionQuaternionW(R)__std,0.03133010727274513
motionRotationRateY(rad/s)__min,0.03112178433326581
motionRotationRateY(rad/s)__max,0.02708908854829703
motionPitch(rad)__energy,0.024968776370699143
motionUserAccelerationX(G)__mean,0.02481966242963391
motionRotationRateY(rad/s)__energy,0.02415063174649225
motionGravityY(G)__energy,0.023617442991341157
motionRotationRateY(rad/s)__std,0.022658475072008508
motionGravityZ(G)__energy,0.020998290216660626
motionRotationRateZ(rad/s)__median,0.020309624507083533
motionGravityZ(G)__median,0.020187212810401128
motionGravityX(G)__min,0.020035998923802964
motionUserAccelerationX(G)__energy,0.02002953595653085
motionUserAccelerationZ(G)__std,0.01945263930737709
motionGravityX(G)__mean,0.01903534258702226
motionGravityZ(G)__max,0.018683265914229252
motionPitch(rad)__std,0.017810089168812295
motionRotationRateZ(rad/s)__min,0.017192235992256062
