fold,test_session,train_events,test_events,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
1,fritz_1_Labeled.csv,230,147,0.9183673469387755,0.9277922834577705,0.919300766283525,0.9277922834577705,0.9132700256216367,0.9209619977435299
2,fritz_2_Labeled.csv,292,85,1.0,1.0,1.0,1.0,1.0,1.0
3,fritz_3_Labeled.csv,232,145,0.9724137931034482,0.9767441860465116,0.9738300492610837,0.9767441860465116,0.9743308520747546,0.9721126560571473
