fold,test_session,train_events,test_events,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
1,fritz_1_Labeled.csv,230,147,0.8231292517006803,0.809255103361961,0.7927870182555782,0.809255103361961,0.6665352700038298,0.8603563103563103
2,fritz_2_Labeled.csv,292,85,0.9294117647058824,0.6666666666666666,0.48863636363636365,0.5,0.4941860465116279,0.9236662106703146
3,fritz_3_Labeled.csv,232,145,0.9172413793103448,0.8285714285714285,0.9297475664081833,0.8285714285714285,0.8113403084246542,0.8907022055491814
