label,precision,recall,f1-score,support
Vorhand,0.9941176470588236,0.9941176470588236,0.9941176470588236,170.0
Rueckhand,0.967391304347826,0.9368421052631579,0.9518716577540107,95.0
Schlaeger drehen,0.7142857142857143,0.660377358490566,0.6862745098039216,53.0
Aufschlag von unten,0.9487179487179487,0.9736842105263158,0.961038961038961,38.0
Kein Schlag / Other,0.1111111111111111,0.14285714285714285,0.125,21.0
accuracy,0.883289124668435,0.883289124668435,0.883289124668435,0.883289124668435
macro avg,0.7471247451042848,0.7415756928392012,0.7436605551311434,377.0
weighted avg,0.8942809871480153,0.883289124668435,0.8884478435695474,377.0
