fold,test_session,train_events,test_events,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
1,fritz_1_Labeled.csv,230,147,0.8503401360544217,0.6818889991800094,0.7858373205741627,0.6818889991800094,0.7287221730728626,0.9075936188027783
2,fritz_2_Labeled.csv,292,85,0.9294117647058824,0.6666666666666666,0.5,0.5,0.5,0.9294117647058824
3,fritz_3_Labeled.csv,232,145,0.896551724137931,0.7904761904761906,0.7243985294801991,0.7904761904761906,0.7531619239653674,0.8537886470479356
