label,precision,recall,f1-score,support
Vorhand,0.9764705882352941,0.9764705882352941,0.9764705882352941,170.0
Rueckhand,0.9770114942528736,0.8947368421052632,0.9340659340659341,95.0
Schlaeger drehen,0.734375,0.8867924528301887,0.8034188034188035,53.0
Aufschlag von unten,1.0,0.9473684210526315,0.972972972972973,38.0
Kein Schlag / Other,0.0,0.0,0.0,21.0
accuracy,0.8859416445623343,0.8859416445623343,0.8859416445623343,0.8859416445623343
macro avg,0.7375714164976335,0.7410736608446755,0.7373856597386009,377.0
weighted avg,0.8905516364828197,0.8859416445623343,0.8867120246430591,377.0
