loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),label
2026-05-26T15:47:11.733+02:00,1779803230.999495,53.23610689089494,10.40155555272634,22.91459,0,0.188298,234.5376105425829,180,16.78839530571731,2.746852437839412,-9999,3262.044186375,-0.2618865966796875,-0.259033203125,-0.9221649169921875,3262.034111375,0.005292283985149113,0.03601760560275928,-0.01599931432362725,-0.04196701571345329,0.1701367199420929,-0.01186473108828068,0.01377174258232117,-0.000819772481918335,0.01886469125747681,XArbitraryZVertical,-0.008045897132770912,0.01798602728966442,0.002501570954750373,0.9998026407054762,-0.2626273334026337,-0.246204748749733,-0.9329577088356018,0,0,0,-1,-1,2026-05-26T14:10:01.685+02:00,1475,1.083488,0,0,1181.784,0,0,2026-05-26T15:38:17.271+02:00,801496031.2906098,0,0.8600006,102.2521,0
2026-05-26T15:47:11.744+02:00,1779803230.999495,53.23610689089494,10.40155555272634,22.91459,0,0.188298,234.5376105425829,180,16.78839530571731,2.746852437839412,-9999,3262.054262375,-0.2590789794921875,-0.2770843505859375,-0.93182373046875,3262.044186375,0.005221379607556522,0.0376425984670103,-0.01663919583108915,-0.07782088220119476,0.1491584777832031,-0.007600743789225817,0.002373725175857544,-0.01245199143886566,0.01244336366653442,XArbitraryZVertical,-0.008367132764093668,0.01879775850938493,0.002453560247459098,0.9997851942618411,-0.261086493730545,-0.245635136961937,-0.9335401654243469,0,0,0,-1,-1,2026-05-26T14:10:01.685+02:00,1475,1.083488,0,0,1181.784,0,0,2026-05-26T15:38:17.271+02:00,801496031.2906098,0,0.8600006,102.2521,0
2026-05-26T15:47:11.754+02:00,1779803230.999495,53.23610689089494,10.40155555272634,22.91459,0,0.188298,234.5376105425829,180,16.78839530571731,2.746852437839412,-9999,3262.064338375,-0.253936767578125,-0.26904296875,-0.93548583984375,3262.054262375,0.005237675904290722,0.03903487738972213,-0.01764155294056076,-0.1258655935525894,0.1296020746231079,0.0001892020227387547,-0.001739174127578735,-0.02436845004558563,0.00832134485244751,XArbitraryZVertical,-0.008870059634077644,0.01949227807773594,0.002446089116887379,0.9997676624935153,-0.2597812116146088,-0.244705006480217,-0.934148371219635,0,0,0,-1,-1,2026-05-26T14:10:01.685+02:00,1475,1.083488,0,0,1181.784,0,0,2026-05-26T15:38:17.271+02:00,801496031.2906098,0,0.8600006,102.2521,0
2026-05-26T15:47:11.764+02:00,1779803230.999495,53.23610689089494,10.40155555272634,22.91459,0,0.188298,234.5376105425829,180,16.78839530571731,2.746852437839412,-9999,3262.074413375,-0.260772705078125,-0.2350006103515625,-0.92633056640625,3262.064338375,0.005174889392531401,0.04031883892665487,-0.01897171550491735,-0.1234783306717873,0.1274736821651459,-0.02396353892982006,0.002494335174560547,-0.03567957878112793,-0.00306093692779541,XArbitraryZVertical,-0.009535912390718554,0.02013254220862502,0.002395586877883671,0.9997489061933723,-0.258552074432373,-0.2434952110052109,-0.9348052740097046,0,0,0,-1,-1,2026-05-26T14:10:01.685+02:00,1475,1.083488,0,0,1181.784,0,0,2026-05-26T15:38:17.271+02:00,801496031.2906098,0,0.8600006,102.2521,0
2026-05-26T15:47:11.774+02:00,1779803230.999495,53.23610689089494,10.40155555272634,22.91459,0,0.188298,234.5376105425829,180,16.78839530571731,2.746852437839412,-9999,3262.084489375,-0.264007568359375,-0.2232818603515625,-0.9203338623046875,3262.074413375,0.004949496997052645,0.04159094806411711,-0.02003222862823033,-0.0811632052063942,0.1292641311883926,-0.02990684844553471,0.0007928907871246338,-0.002260252833366394,0.006892502307891846,XArbitraryZVertical,-0.01006520833310603,0.02076808808456099,0.002265816168165671,0.9997310308518111,-0.257293164730072,-0.2425822615623474,-0.9353898167610168,0,0,0,-1,-1,2026-05-26T14:10:01.685+02:00,1475,1.083488,0,0,1181.784,0,0,2026-05-26T15:38:17.271+02:00,801496031.2906098,0,0.8600006,102.2521,0
2026-05-26T15:47:11.784+02:00,1779803230.999495,53.23610689089494,10.40155555272634,22.91459,0,0.188298,234.5376105425829,180,16.78839530571731,2.746852437839412,-9999,3262.094564375,-0.24957275390625,-0.217529296875,-0.9130401611328125,3262.084489375,0.004752270717777345,0.04293012025859957,-0.02044433853200267,-0.00722160330042243,0.1336785852909088,-0.009418084286153316,-0.00933527946472168,0.01652140915393829,0.01240092515945435,XArbitraryZVertical,-0.01027060486606556,0.02143794667073341,0.002156063442002214,0.9997150988528266,-0.2559845447540283,-0.2422598749399185,-0.9358322620391846,0,0,0,-1,-1,2026-05-26T14:10:01.685+02:00,1475,1.083488,0,0,1181.784,0,0,2026-05-26T15:38:17.271+02:00,801496031.2906098,0,0.8600006,102.2521,0
2026-05-26T15:47:11.794+02:00,1779803230.999495,53.23610689089494,10.40155555272634,22.91459,0,0.188298,234.5376105425829,180,16.78839530571731,2.746852437839412,-9999,3262.104640375,-0.23944091796875,-0.21551513671875,-0.91265869140625,3262.094564375,0.004710212407530661,0.04418342850994959,-0.02028382611675836,0.03053365834057331,0.1197124347090721,-0.0005032198969274759,-0.001484483480453491,0.02284663915634155,0.02066224813461304,XArbitraryZVertical,-0.01019125828018803,0.02206484214364157,0.002130378790055713,0.9997022752558914,-0.2548021376132965,-0.2424205988645554,-0.9361132979393005,0,0,0,-1,-1,2026-05-26T14:10:01.685+02:00,1475,1.083488,0,0,1181.784,0,0,2026-05-26T15:38:17.271+02:00,801496031.2906098,0,0.8600006,102.2521,0
2026-05-26T15:47:11.804+02:00,1779803230.999495,53.23610689089494,10.40155555272634,22.91459,0,0.188298,234.5376105425829,180,16.78839530571731,2.746852437839412,-9999,3262.114715375,-0.246185302734375,-0.229522705078125,-0.9192047119140625,3262.104640375,0.004724992736054952,0.0453537593203275,-0.0199863391357914,0.03029024414718151,0.1130798310041428,0.006119795143604279,0.01257887482643127,0.02777104079723358,0.02447366714477539,XArbitraryZVertical,-0.01004397373637596,0.02265014043079238,0.002135178896176561,0.9996906249514433,-0.2537135183811188,-0.2426910549402237,-0.9363388419151306,0,0,0,-1,-1,2026-05-26T14:10:01.685+02:00,1475,1.083488,0,0,1181.784,0,0,2026-05-26T15:38:17.271+02:00,801496031.2906098,0,0.8600006,102.2521,0
2026-05-26T15:47:11.814+02:00,1779803230.999495,53.23610689089494,10.40155555272634,22.91459,0,0.188298,234.5376105425829,180,16.78839530571731,2.746852437839412,-9999,3262.124791375,-0.24859619140625,-0.2453155517578125,-0.919769287109375,3262.114715375,0.004886206627884204,0.04643605314895596,-0.01989819164911867,-0.01890228129923344,0.1050653159618378,0.0273961890488863,0.009777426719665527,0.01967188715934753,0.01960033178329468,XArbitraryZVertical,-0.01000293662055816,0.02319042268368149,0.002211348410841695,0.9996785727688242,-0.252743124961853,-0.2427248507738113,-0.9365925192832947,0,0,0,-1,-1,2026-05-26T14:10:01.685+02:00,1475,1.083488,0,0,1181.784,0,0,2026-05-26T15:38:17.271+02:00,801496031.2906098,0,0.8600006,102.2521,0
2026-05-26T15:47:11.824+02:00,1779803230.999495,53.23610689089494,10.40155555272634,22.91459,0,0.188298,234.5376105425829,180,16.78839530571731,2.746852437839412,-9999,3262.134867375,-0.2473602294921875,-0.2546844482421875,-0.9235076904296875,3262.124791375,0.005172813112361722,0.04738328781361441,-0.02023375857640895,-0.04974594712257385,0.08411556482315063,0.02385098859667778,0.00279650092124939,0.002889096736907959,0.01616883277893066,XArbitraryZVertical,-0.01017510147504068,0.02366197846309409,0.002345887399507509,0.9996654429055221,-0.2519267499446869,-0.2423299849033356,-0.9369146823883057,0,0,0,-1,-1,2026-05-26T14:10:01.685+02:00,1475,1.083488,0,0,1181.784,0,0,2026-05-26T15:38:17.271+02:00,801496031.2906098,0,0.8600006,102.2521,0
