loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R),label
2026-04-24T18:35:19.246+02:00,1777048513.800981,53.56897219751585,9.882953190205464,38.55946,-1,-1,-1,-1,9.519085617248134,5.63601519283635,-9999,3576.100006375,0.0529327392578125,-0.070159912109375,-0.996551513671875,3576.094969375,-0.000108658874141659,-2.00370057101838e-05,-0.0001812146004825462,0.009464375674724579,-0.001180137507617474,-0.003776051569730043,0.003102269023656845,0.002251818776130676,0.008237183094024658,XArbitraryZVertical,-9.060783798181433e-05,-1.001357946020148e-05,-5.43285252934555e-05,1.000000063863779,0.04677872732281685,-0.06745263934135437,-0.9966252446174622,0,0,0,-1,-1,3542.123566166667,unknown,2,2026-04-24T18:34:45.265+02:00,2026-04-24T18:20:19.173+02:00,16,0.7102333,0,0,12.45568,0,0,2026-04-24T18:28:28.837+02:00,798741318.8894778,0,1.99,101.5412,1,0.85,0
2026-04-24T18:35:19.256+02:00,1777048513.800981,53.56897219751585,9.882953190205464,38.55946,-1,-1,-1,-1,9.519085617248134,5.63601519283635,-9999,3576.110081375,0.0541534423828125,-0.07159423828125,-0.9941864013671875,3576.105043375,-0.0001512704587057262,-5.595781267724815e-05,-0.0001455927981629485,0.003587790299206972,-0.00639434065669775,-0.005397516768425703,0.004325374960899353,-0.001132644712924957,0.001247942447662354,XArbitraryZVertical,-7.279851201071543e-05,-2.79733990713088e-05,-7.563318921143272e-05,1.000000034766685,0.04674580693244934,-0.06748614460229874,-0.9966245293617249,0,0,0,-1,-1,3542.123566166667,unknown,2,2026-04-24T18:34:45.265+02:00,2026-04-24T18:20:19.173+02:00,16,0.7102333,0,0,12.45568,0,0,2026-04-24T18:28:28.837+02:00,798741318.8894778,0,1.99,101.5412,1,0.85,0
2026-04-24T18:35:19.266+02:00,1777048513.800981,53.56897219751585,9.882953190205464,38.55946,-1,-1,-1,-1,9.519085617248134,5.63601519283635,-9999,3576.120155375,0.0511016845703125,-0.0692596435546875,-0.9920196533203125,3576.115118375,-0.0001970762016981635,-0.0001620208056308411,-9.661311332301638e-05,0.003152097342535853,-0.007650021463632584,-0.002013704273849726,0.00801379606127739,-0.003237463533878326,0.0005934834480285645,XArbitraryZVertical,-4.831453623837906e-05,-8.100563780764134e-05,-9.853418157146262e-05,1.000000044959627,0.0466432012617588,-0.06753281503915787,-0.9966261982917786,0,0,0,-1,-1,3542.123566166667,unknown,2,2026-04-24T18:34:45.265+02:00,2026-04-24T18:20:19.173+02:00,16,0.7102333,0,0,12.45568,0,0,2026-04-24T18:28:28.837+02:00,798741318.8894778,0,1.99,101.5412,1,0.85,0
2026-04-24T18:35:19.276+02:00,1777048513.800981,53.56897219751585,9.882953190205464,38.55946,-1,-1,-1,-1,9.519085617248134,5.63601519283635,-9999,3576.130230375,0.0484161376953125,-0.06805419921875,-0.9904937744140625,3576.125193375,-0.0002081856831350159,-0.0002793254327690634,-8.969425762392175e-05,-0.001028000377118587,-0.009881217032670975,-0.0008722071070224047,0.006771918386220932,-0.003673583269119263,0.002978861331939697,XArbitraryZVertical,-4.486166277415364e-05,-0.0001396580367161371,-0.0001040865692963758,1.000000055806909,0.04652704671025276,-0.06753919273614883,-0.9966311454772949,0,0,0,-1,-1,3542.123566166667,unknown,2,2026-04-24T18:34:45.265+02:00,2026-04-24T18:20:19.173+02:00,16,0.7102333,0,0,12.45568,0,0,2026-04-24T18:28:28.837+02:00,798741318.8894778,0,1.99,101.5412,1,0.85,0
2026-04-24T18:35:19.286+02:00,1777048513.800981,53.56897219751585,9.882953190205464,38.55946,-1,-1,-1,-1,9.519085617248134,5.63601519283635,-9999,3576.140304375,0.047210693359375,-0.0732421875,-0.9880523681640625,3576.135267375,-0.0002234297899812374,-0.0003768992355090771,-6.716605687759737e-05,0.004995803814381361,-0.00973234698176384,-0.003105800366029143,0.003785852342844009,5.603581666946411e-05,0.005530059337615967,XArbitraryZVertical,-3.360407643793934e-05,-0.0001884458422509016,-0.0001117085513289435,1.000000088907391,0.04643083736300468,-0.06756093353033066,-0.9966341853141785,0,0,0,-1,-1,3542.123566166667,unknown,2,2026-04-24T18:34:45.265+02:00,2026-04-24T18:20:19.173+02:00,16,0.7102333,0,0,12.45568,0,0,2026-04-24T18:28:28.837+02:00,798741318.8894778,0,1.99,101.5412,1,0.85,0
2026-04-24T18:35:19.296+02:00,1777048513.800981,53.56897219751585,9.882953190205464,38.55946,-1,-1,-1,-1,9.519085617248134,5.63601519283635,-9999,3576.150379375,0.0479888916015625,-0.066619873046875,-0.98748779296875,3576.145342375,-0.0002353475271561507,-0.000468073216399366,-3.384210512359013e-05,0.001862860983237624,-0.007104871328920126,-0.0007686101598665118,0.00122089684009552,-0.003283508121967316,0.007256269454956055,XArbitraryZVertical,-1.694859192355409e-05,-0.0002340346129006275,-0.0001176697997479279,0.9999999670205734,0.04634076729416847,-0.06759357452392578,-0.9966361522674561,0,0,0,-1,-1,3542.123566166667,unknown,2,2026-04-24T18:34:45.265+02:00,2026-04-24T18:20:19.173+02:00,16,0.7102333,0,0,12.45568,0,0,2026-04-24T18:28:28.837+02:00,798741318.8894778,0,1.99,101.5412,1,0.85,0
2026-04-24T18:35:19.306+02:00,1777048513.800981,53.56897219751585,9.882953190205464,38.55946,-1,-1,-1,-1,9.519085617248134,5.63601519283635,-9999,3576.160454375,0.045684814453125,-0.0630340576171875,-0.9883880615234375,3576.155416375,-0.0002125913638807878,-0.0005309252237012399,-8.068449018946173e-06,0.003801109734922647,-0.007154939230531454,0.002071651164442301,0.001025673002004623,-0.003714524209499359,0.009347915649414062,XArbitraryZVertical,-4.062441744691963e-06,-0.000265462170108836,-0.0001062946037343121,0.9999999903790673,0.04627658799290657,-0.06762032955884933,-0.9966373443603516,0,0,0,-1,-1,3542.123566166667,unknown,2,2026-04-24T18:34:45.265+02:00,2026-04-24T18:20:19.173+02:00,16,0.7102333,0,0,12.45568,0,0,2026-04-24T18:28:28.837+02:00,798741318.8894778,0,1.99,101.5412,1,0.85,0
2026-04-24T18:35:19.317+02:00,1777048513.800981,53.56897219751585,9.882953190205464,38.55946,-1,-1,-1,-1,9.519085617248134,5.63601519283635,-9999,3576.170528375,0.043365478515625,-0.0684356689453125,-0.99139404296875,3576.165491375,-0.0002180070959669431,-0.000563715307265924,2.85371073856512e-05,0.008079743944108486,-0.002497869543731213,-0.002497068140655756,0.0004018545150756836,0.004653006792068481,0.008904457092285156,XArbitraryZVertical,1.423782903536656e-05,-0.0002818591931493667,-0.0001090075611163582,0.9999999910308632,0.04624427855014801,-0.06765655428171158,-0.9966363906860352,0,0,0,-1,-1,3542.123566166667,unknown,2,2026-04-24T18:34:45.265+02:00,2026-04-24T18:20:19.173+02:00,16,0.7102333,0,0,12.45568,0,0,2026-04-24T18:28:28.837+02:00,798741318.8894778,0,1.99,101.5412,1,0.85,0
2026-04-24T18:35:19.327+02:00,1777048513.800981,53.56897219751585,9.882953190205464,38.55946,-1,-1,-1,-1,9.519085617248134,5.63601519283635,-9999,3576.180603375,0.043304443359375,-0.066375732421875,-0.9953460693359375,3576.175566375,-0.0002511836739212257,-0.0005602853949556515,7.402358233065166e-05,0.003591785207390785,-6.081117317080498e-05,-0.003825452644377947,-0.002350397408008575,0.0018434077501297,0.007939934730529785,XArbitraryZVertical,3.697660192196593e-05,-0.0002801473105255284,-0.0001256021870763167,1.000000056648077,0.04624994844198227,-0.0677003487944603,-0.9966331124305725,0,0,0,-1,-1,3542.123566166667,unknown,2,2026-04-24T18:34:45.265+02:00,2026-04-24T18:20:19.173+02:00,16,0.7102333,0,0,12.45568,0,0,2026-04-24T18:28:28.837+02:00,798741318.8894778,0,1.99,101.5412,1,0.85,0
2026-04-24T18:35:19.337+02:00,1777048513.800981,53.56897219751585,9.882953190205464,38.55946,-1,-1,-1,-1,9.519085617248134,5.63601519283635,-9999,3576.190678375,0.045379638671875,-0.066131591796875,-0.9947967529296875,3576.185640375,-0.0002955157606390441,-0.0005505098329266588,0.0001307846391988245,0.004940356593579054,-0.0002645431086421013,-0.00549745187163353,-0.003004007041454315,-0.0008486881852149963,0.002472937107086182,XArbitraryZVertical,6.535163954653221e-05,-0.0002752645474451249,-0.0001477758604426207,1.000000036894461,0.04626268893480301,-0.0677548348903656,-0.9966288208961487,0,0,0,-1,-1,3542.123566166667,unknown,2,2026-04-24T18:34:45.265+02:00,2026-04-24T18:20:19.173+02:00,16,0.7102333,0,0,12.45568,0,0,2026-04-24T18:28:28.837+02:00,798741318.8894778,0,1.99,101.5412,1,0.85,0
