loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R),label
2026-05-05T16:59:29.907+02:00,1777993168.999466,53.23565803650313,10.40152943729329,25.23766,0.4196503,1.487839,-1,-1,5.582828087996303,2.000234277390156,-9999,3078.5426275,-0.05767822265625,-0.64447021484375,-0.6565704345703125,3078.5325545,1.128085746738953,-0.126841023127152,0.2837675995997223,-0.1407685130834579,0.103605754673481,0.1138531342148781,0.09620320051908493,-0.02796876430511475,0.01427114009857178,XArbitraryZVertical,-0.1528058000392301,-0.02242328362610873,-0.5205971927374002,-0.8397179740430583,-0.1045955568552017,-0.6106115579605103,-0.7849925756454468,0,0,0,-1,-1,3066.798037375,unknown,2,2026-05-05T16:59:18.138+02:00,2026-05-05T16:12:27.330+02:00,1618,1.315207,0,0,1418.052,0,0,2026-05-05T16:59:25.874+02:00,799685968.5403725,0,-0.3500004,100.769,1,0.7,0
2026-05-05T16:59:29.908+02:00,1777993168.999466,53.23565803650313,10.40152943729329,25.23766,0.4196503,1.487839,-1,-1,5.582828087996303,2.000234277390156,-9999,3078.5526995,-0.0548248291015625,-0.65521240234375,-0.6563873291015625,3078.5426275,0.001027592216001765,0.001158902319873347,-0.002309749048953116,-0.3149101138114929,0.1031199917197227,0.09499715268611908,0.0721917599439621,-0.02186518907546997,0.0734788179397583,XArbitraryZVertical,-0.00115517150846315,0.0005788572286047651,0.0005131264047224229,0.9999991482457273,-0.1043115332722664,-0.60868901014328,-0.7865219712257385,0,0,0,-1,-1,3066.798037375,unknown,2,2026-05-05T16:59:18.138+02:00,2026-05-05T16:12:27.330+02:00,1618,1.315207,0,0,1418.052,0,0,2026-05-05T16:59:25.874+02:00,799685968.5403725,0,-0.3500004,100.769,1,0.7,0
2026-05-05T16:59:29.909+02:00,1777993168.999466,53.23565803650313,10.40152943729329,25.23766,0.4196503,1.487839,-1,-1,5.582828087996303,2.000234277390156,-9999,3078.5627725,-0.0409088134765625,-0.630584716796875,-0.72137451171875,3078.5526995,0.001987982078989276,0.002278942124793392,-0.005946229311108176,-0.396082729101181,0.1220526695251465,0.1085009723901749,0.04633350670337677,-0.03874635696411133,0.1322769522666931,XArbitraryZVertical,-0.002974239335759245,0.001136509913669242,0.0009905980139701378,0.9999944940212366,-0.1040117591619492,-0.6057238578796387,-0.7888473868370056,0,0,0,-1,-1,3066.798037375,unknown,2,2026-05-05T16:59:18.138+02:00,2026-05-05T16:12:27.330+02:00,1618,1.315207,0,0,1418.052,0,0,2026-05-05T16:59:25.874+02:00,799685968.5403725,0,-0.3500004,100.769,1,0.7,0
2026-05-05T16:59:29.924+02:00,1777993168.999466,53.23565803650313,10.40152943729329,25.23766,0.4196503,1.487839,-1,-1,5.582828087996303,2.000234277390156,-9999,3078.5728445,-0.0360260009765625,-0.625091552734375,-0.780853271484375,3078.5627725,0.003130324693130132,0.003906763451555825,-0.00998793589699121,-0.3955502212047577,0.1884644627571106,0.1187073364853859,0.04859034717082977,-0.05280208587646484,0.1350715160369873,XArbitraryZVertical,-0.004996988613554482,0.001945537315952735,0.001555384060224821,0.9999844628404453,-0.1034151986241341,-0.6024103164672852,-0.7914588451385498,0,0,0,-1,-1,3066.798037375,unknown,2,2026-05-05T16:59:18.138+02:00,2026-05-05T16:12:27.330+02:00,1618,1.315207,0,0,1418.052,0,0,2026-05-05T16:59:25.874+02:00,799685968.5403725,0,-0.3500004,100.769,1,0.7,0
2026-05-05T16:59:29.927+02:00,1777993168.999466,53.23565803650313,10.40152943729329,25.23766,0.4196503,1.487839,-1,-1,5.582828087996303,2.000234277390156,-9999,3078.5829175,-0.0367889404296875,-0.6332244873046875,-0.826202392578125,3078.5728445,0.004157489947443159,0.005967603133673068,-0.01354342787270274,-0.3029113709926605,0.2050993591547012,0.0856468603014946,0.06148912757635117,-0.03110045194625854,0.07243484258651733,XArbitraryZVertical,-0.006777819374681571,0.002969645604074218,0.002058481208704014,0.999970566777816,-0.1023979559540749,-0.5994842648506165,-0.7938093543052673,0,0,0,-1,-1,3066.798037375,unknown,2,2026-05-05T16:59:18.138+02:00,2026-05-05T16:12:27.330+02:00,1618,1.315207,0,0,1418.052,0,0,2026-05-05T16:59:25.874+02:00,799685968.5403725,0,-0.3500004,100.769,1,0.7,0
2026-05-05T16:59:29.938+02:00,1777993168.999466,53.23565803650313,10.40152943729329,25.23766,0.4196503,1.487839,-1,-1,5.582828087996303,2.000234277390156,-9999,3078.5929905,-0.029266357421875,-0.6194610595703125,-0.8580322265625,3078.5829175,0.004814610419564555,0.008066241675118687,-0.016004496025823,-0.1880943328142166,0.196935161948204,0.04756438732147217,0.06509483605623245,-0.02763170003890991,0.0146443247795105,XArbitraryZVertical,-0.008011782857987797,0.004013705570624532,0.002374932697056393,0.9999570406149251,-0.1011208519339561,-0.5974597930908203,-0.7954975366592407,0,0,0,-1,-1,3066.798037375,unknown,2,2026-05-05T16:59:18.138+02:00,2026-05-05T16:12:27.330+02:00,1618,1.315207,0,0,1418.052,0,0,2026-05-05T16:59:25.874+02:00,799685968.5403725,0,-0.3500004,100.769,1,0.7,0
2026-05-05T16:59:29.948+02:00,1777993168.999466,53.23565803650313,10.40152943729329,25.23766,0.4196503,1.487839,-1,-1,5.582828087996303,2.000234277390156,-9999,3078.6030625,-0.0289764404296875,-0.60699462890625,-0.8819122314453125,3078.5929905,0.005050344610374411,0.009953536257411249,-0.01713558484742021,-0.03059764392673969,0.1725848168134689,0.008143747225403786,0.06296749413013458,-0.03668922185897827,-0.02983921766281128,XArbitraryZVertical,-0.008580120207947359,0.004954914089910066,0.002482406406291717,0.9999479076516785,-0.09975644201040268,-0.5965352654457092,-0.7963631749153137,0,0,0,-1,-1,3066.798037375,unknown,2,2026-05-05T16:59:18.138+02:00,2026-05-05T16:12:27.330+02:00,1618,1.315207,0,0,1418.052,0,0,2026-05-05T16:59:25.874+02:00,799685968.5403725,0,-0.3500004,100.769,1,0.7,0
2026-05-05T16:59:29.958+02:00,1777993168.999466,53.23565803650313,10.40152943729329,25.23766,0.4196503,1.487839,-1,-1,5.582828087996303,2.000234277390156,-9999,3078.6131355,-0.037078857421875,-0.607330322265625,-0.8667144775390625,3078.6030625,0.004734581857628158,0.01152490945398851,-0.016532585480639,0.140007272362709,0.135612964630127,-0.06657157093286514,0.06905006617307663,-0.02241230010986328,-0.06187474727630615,XArbitraryZVertical,-0.008279678048785042,0.005742640974034179,0.002319535069990307,0.9999466631232268,-0.09831645339727402,-0.5970487594604492,-0.7961574196815491,0,0,0,-1,-1,3066.798037375,unknown,2,2026-05-05T16:59:18.138+02:00,2026-05-05T16:12:27.330+02:00,1618,1.315207,0,0,1418.052,0,0,2026-05-05T16:59:25.874+02:00,799685968.5403725,0,-0.3500004,100.769,1,0.7,0
2026-05-05T16:59:29.968+02:00,1777993168.999466,53.23565803650313,10.40152943729329,25.23766,0.4196503,1.487839,-1,-1,5.582828087996303,2.000234277390156,-9999,3078.6232075,-0.015594482421875,-0.60040283203125,-0.7893829345703125,3078.6131355,0.003897998680584317,0.0131083638803799,-0.01510589757469889,0.1181339398026466,0.1832078993320465,-0.07431071996688843,0.06757994741201401,-0.008722603321075439,-0.08645796775817871,XArbitraryZVertical,-0.00756547307959652,0.006539214572809523,0.001899397945163211,0.999948322182339,-0.0965564101934433,-0.5982720851898193,-0.7954542636871338,0,0,0,-1,-1,3066.798037375,unknown,2,2026-05-05T16:59:18.138+02:00,2026-05-05T16:12:27.330+02:00,1618,1.315207,0,0,1418.052,0,0,2026-05-05T16:59:25.874+02:00,799685968.5403725,0,-0.3500004,100.769,1,0.7,0
2026-05-05T16:59:29.978+02:00,1777993168.999466,53.23565803650313,10.40152943729329,25.23766,0.4196503,1.487839,-1,-1,5.582828087996303,2.000234277390156,-9999,3078.6332805,0.024505615234375,-0.621551513671875,-0.7418670654296875,3078.6232075,0.003385496445167344,0.01531327077917516,-0.0142047447483378,0.06255334615707397,0.2416608333587646,-0.01494752429425716,0.05741894990205765,-0.008288145065307617,-0.07159262895584106,XArbitraryZVertical,-0.007115053829772812,0.00764433360569291,0.001638275729228907,0.9999442346344183,-0.09449781477451324,-0.5990421772003174,-0.7951217889785767,0,0,0,-1,-1,3066.798037375,unknown,2,2026-05-05T16:59:18.138+02:00,2026-05-05T16:12:27.330+02:00,1618,1.315207,0,0,1418.052,0,0,2026-05-05T16:59:25.874+02:00,799685968.5403725,0,-0.3500004,100.769,1,0.7,0
