loggingTime(txt),loggingSample(N),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),locationHeadingTimestamp_since1970(s),locationHeadingX(µT),locationHeadingY(µT),locationHeadingZ(µT),locationTrueHeading(°),locationMagneticHeading(°),locationHeadingAccuracy(°),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),magnetometerTimestamp_sinceReboot(s),magnetometerX(µT),magnetometerY(µT),magnetometerZ(µT),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),IP_Timestamp_since1970(s),IP_en0(txt),IP_pdp_ip0(txt),deviceID(txt),deviceOrientationTimeStamp_since1970(s),deviceOrientation(Z),batteryTimeStamp_since1970(s),batteryState(R),batteryLevel(Z),label(N)
2026-05-26T14:17:24.702+02:00,1,1779797843.999583,53.23130094896739,10.39893779159506,37.29483,0.3256732,0.8009471,281.720504837297,180,3,2.10259490663335,-9999,1779797844.685615,-8.699214935302734,-44.54388427734375,-18.99825286865234,133.8566589355469,129.5051116943359,12.09214782714844,251699.2359157917,0.0110626220703125,-0.8546905517578125,-0.52606201171875,251699.2259127917,-0.177094355225563,-0.3285467326641083,0.03981132805347443,251699.2340037917,35.639404296875,-72.83090209960938,-107.9217987060547,251699.2109087917,0.1349823786804867,0.02477636033810466,1.014300952474275,-0.2438435852527618,-0.1727411150932312,0.06287242472171783,0.01865257509052753,-0.009485363960266113,0.07948905229568481,XArbitraryCorrectedZVertical,0.4838151227024397,0.04355626154402893,0.06494984821958465,0.8716692886429774,0.0130858737975359,-0.8491114974021912,-0.5280515551567078,-8.820976257324219,-44.70913696289062,-18.99625396728516,-1,2,251693.14941925,unknown,2,2026-05-26T14:17:18.588+02:00,null,0,0,0,0,0,0,0,null,251696.218078,0,1.183754,102.1024,0,,,my_iOS_device,0,1,1779797844.681384,2,0.4,0
2026-05-26T14:17:24.716+02:00,2,1779797843.999583,53.23130094896739,10.39893779159506,37.29483,0.3256732,0.8009471,281.720504837297,180,3,2.10259490663335,-9999,1779797844.705742,-8.785614013671875,-44.36829376220703,-19.30142211914062,134.1088714599609,129.75732421875,12.09214782714844,251699.2659237917,0.027374267578125,-0.8424072265625,-0.5322418212890625,251699.2559207917,-0.05906598269939423,-0.4041709005832672,-0.0541686974465847,251699.2645767917,35.33609008789062,-72.74070739746094,-108.1001739501953,251699.2409167917,0.1374618660245336,0.01388525736310612,1.008882255616704,-0.127141609787941,-0.3249885737895966,-0.02882377989590168,-0.001904593780636787,-0.006744801998138428,-0.004948675632476807,XArbitraryCorrectedZVertical,0.4817480444253402,0.03925544485958807,0.06346886431857934,0.8731263615283434,0.007397925015538931,-0.8462368249893188,-0.5327556729316711,-8.699214935302734,-44.54388427734375,-18.99825286865234,-1,2,251693.14941925,unknown,2,2026-05-26T14:17:18.588+02:00,null,0,0,0,0,0,0,0,null,251696.218078,0,1.183754,102.1024,1779797844.704967,192.168.178.63,192.0.0.2,my_iOS_device,0,1,1779797844.681384,2,0.4,0
2026-05-26T14:17:24.745+02:00,3,1779797843.999583,53.23130094896739,10.39893779159506,37.29483,0.3256732,0.8009471,281.720504837297,180,3,2.10259490663335,-9999,1779797844.725746,-9.101902008056641,-44.50749969482422,-19.22879028320312,134.4451904296875,130.0936431884766,12.09214782714844,251699.2959307917,0.0118408203125,-0.827667236328125,-0.511077880859375,251699.2859287917,0.02199691161513329,-0.4066002368927002,-0.06566556543111801,251699.2951507917,34.96261596679688,-72.95895385742188,-108.2604827880859,251699.2709247917,0.1349373279877907,0.004234678584141381,1.007148843331132,0.007574479561299086,-0.4464637041091919,-0.06302542239427567,0.02233486622571945,0.001638054847717285,-0.006853938102722168,XArbitraryCorrectedZVertical,0.4813351977993386,0.03438311824644075,0.06006777205165787,0.8737999586063905,0.002262468682602048,-0.8453119993209839,-0.5342684388160706,-8.836994171142578,-44.44093322753906,-19.18221282958984,-1,2,251693.14941925,unknown,2,2026-05-26T14:17:18.588+02:00,null,0,0,0,0,0,0,0,null,251696.218078,0,1.183754,102.1024,1779797844.704967,192.168.178.63,192.0.0.2,my_iOS_device,0,1,1779797844.681384,2,0.4,0
2026-05-26T14:17:24.776+02:00,4,1779797843.999583,53.23130094896739,10.39893779159506,37.29483,0.3256732,0.8009471,281.720504837297,180,3,2.10259490663335,-9999,1779797844.765695,-9.306640625,-44.51798248291016,-19.38990783691406,134.9027252197266,130.5511779785156,12.09214782714844,251699.3259387917,-0.029693603515625,-0.8444671630859375,-0.5472259521484375,251699.3159367917,-0.1078204736113548,-0.08414123952388763,-0.02382863312959671,251699.3257267917,34.69279479980469,-72.75093078613281,-108.588623046875,251699.3009327917,0.1319662647473484,-0.004811395470826246,1.007307499729639,-0.0493202805519104,-0.2995530366897583,-0.04336660727858543,0.007178264670073986,0.01502859592437744,0.02630525827407837,XArbitraryCorrectedZVertical,0.4817159737699425,0.02971976074082325,0.05658904211643349,0.8739933507514469,-0.002569944597780704,-0.8453967571258545,-0.5341328978538513,-9.204448699951172,-44.60365295410156,-19.24980926513672,-1,2,251693.14941925,unknown,2,2026-05-26T14:17:18.588+02:00,null,0,0,0,0,0,0,0,null,251696.218078,0,1.183754,102.1024,1779797844.704967,192.168.178.63,192.0.0.2,my_iOS_device,0,1,1779797844.681384,2,0.4,0
2026-05-26T14:17:24.813+02:00,5,1779797843.999583,53.23130094896739,10.39893779159506,37.29483,0.3256732,0.8009471,281.720504837297,180,3,2.10259490663335,-9999,1779797844.805693,-9.237171173095703,-44.21842956542969,-19.52130889892578,135.0372467041016,130.6856994628906,12.09214782714844,251699.3559467917,0.02081298828125,-0.8260345458984375,-0.55010986328125,251699.3459447917,-0.08350394666194916,-0.1506028175354004,-0.02812724187970161,251699.3563017917,34.97573852539062,-72.41738891601562,-108.5186004638672,251699.3309407917,0.1314249061511557,-0.007408567866208208,1.00436858007636,-0.1164974197745323,-0.08159969002008438,-0.0264484528452158,-0.02300183661282063,-0.00583183765411377,-6.03795051574707e-05,XArbitraryCorrectedZVertical,0.480512335803351,0.02836722926868467,0.05577813983885264,0.8747525260835108,-0.003975557629019022,-0.8438233137130737,-0.5366063714027405,-9.445491790771484,-44.49085235595703,-19.55683135986328,-1,2,251693.14941925,unknown,2,2026-05-26T14:17:18.588+02:00,null,0,0,0,0,0,0,0,null,251696.218078,0,1.183754,102.1024,1779797844.704967,192.168.178.63,192.0.0.2,my_iOS_device,0,1,1779797844.681384,2,0.4,0
2026-05-26T14:17:24.836+02:00,6,1779797843.999583,53.23130094896739,10.39893779159506,37.29483,0.3256732,0.8009471,281.720504837297,180,3,2.10259490663335,-9999,1779797844.825853,-9.214530944824219,-44.38125228881836,-19.37163543701172,135.1881561279297,130.8366088867188,12.08094310760498,251699.3859547917,0.003021240234375,-0.8224639892578125,-0.5157623291015625,251699.3759517917,-0.01978462375700474,-0.2454502433538437,-0.04347104579210281,251699.3868777917,34.76358032226562,-72.83145141601562,-108.5766143798828,251699.3609477917,0.1306068248707613,-0.01059049934877469,1.00190385365752,-0.04289194196462631,-0.2045609951019287,-0.03637794032692909,0.02261187508702278,0.01768416166305542,-0.01002144813537598,XArbitraryCorrectedZVertical,0.4795333049422149,0.02670524018395861,0.05470012309302837,0.875410057218168,-0.005704990122467279,-0.8424981236457825,-0.5386692881584167,-9.237171173095703,-44.21842956542969,-19.52130889892578,-1,2,251693.14941925,unknown,2,2026-05-26T14:17:18.588+02:00,null,0,0,0,0,0,0,0,null,251696.218078,0,1.183754,102.1024,1779797844.704967,192.168.178.63,192.0.0.2,my_iOS_device,0,1,1779797844.681384,2,0.4,0
2026-05-26T14:17:24.866+02:00,7,1779797843.999583,53.23130094896739,10.39893779159506,37.29483,0.3256732,0.8009471,281.720504837297,180,3,2.10259490663335,-9999,1779797844.845734,-9.320728302001953,-44.27211380004883,-19.50783538818359,135.3918609619141,131.0403137207031,12.08094310760498,251699.4159627917,-0.0076751708984375,-0.843536376953125,-0.5791473388671875,251699.4059597917,-0.01054398715496063,-0.2659845352172852,-0.05675782263278961,251699.4174537917,34.76455688476562,-72.80836486816406,-108.7064361572266,251699.3909557917,0.1289614194608424,-0.0160428618082901,1.001097304341983,-0.03416809812188148,-0.3004692792892456,-0.04897373542189598,0.006058963015675545,0.01006251573562622,0.02531719207763672,XArbitraryCorrectedZVertical,0.4793475862206851,0.02389963392381435,0.05268765777692973,0.875716230585617,-0.008652808144688606,-0.8420633673667908,-0.5393093824386597,-9.307327270507812,-44.51346969604492,-19.55074310302734,-1,2,251693.14941925,unknown,2,2026-05-26T14:17:18.588+02:00,null,0,0,0,0,0,0,0,null,251696.218078,0,1.183754,102.1024,1779797844.704967,192.168.178.63,192.0.0.2,my_iOS_device,0,1,1779797844.681384,2,0.4,0
2026-05-26T14:17:24.896+02:00,8,1779797843.999583,53.23130094896739,10.39893779159506,37.29483,0.3256732,0.8009471,281.720504837297,180,3,2.10259490663335,-9999,1779797844.885712,-9.189952850341797,-44.4052848815918,-19.65239715576172,135.742919921875,131.3913726806641,12.08094310760498,251699.4459707917,-0.01190185546875,-0.8369293212890625,-0.5459136962890625,251699.4359677917,0.01330834813416004,-0.12492835521698,-0.08311060070991516,251699.4480277917,34.8863525390625,-72.57540893554688,-108.3975982666016,251699.4209637917,0.1265080553215657,-0.02088054245000173,1.000744415616265,0.007274770643562078,-0.1434432566165924,-0.07425007224082947,-0.0004812190309166908,-0.002899587154388428,-0.03594213724136353,XArbitraryCorrectedZVertical,0.479345556251873,0.02118250483149067,0.05046067332205877,0.8759184092009286,-0.01126790698617697,-0.8418729901313782,-0.5395582914352417,-9.36053466796875,-44.4871711730957,-19.70065307617188,-1,2,251693.14941925,unknown,2,2026-05-26T14:17:18.588+02:00,null,0,0,0,0,0,0,0,null,251696.218078,0,1.183754,102.1024,1779797844.704967,192.168.178.63,192.0.0.2,my_iOS_device,0,1,1779797844.681384,2,0.4,0
2026-05-26T14:17:24.935+02:00,9,1779797843.999583,53.23130094896739,10.39893779159506,37.29483,0.3256732,0.8009471,281.720504837297,180,3,2.10259490663335,-9999,1779797844.925698,-9.336288452148438,-44.45357131958008,-19.44844818115234,136.0634613037109,131.7119140625,12.08094310760498,251699.4759787917,-0.00469970703125,-0.8394775390625,-0.5427398681640625,251699.4659757917,0.08019097894430161,-0.1999488025903702,-0.06251344829797745,251699.4786027917,34.72959899902344,-72.7496337890625,-108.3560333251953,251699.4509717917,0.1227111275583604,-0.02120050109018465,1.001275877747201,0.03230822086334229,-0.1340164691209793,-0.06963907182216644,0.002077583223581314,0.005230188369750977,-0.01727384328842163,XArbitraryCorrectedZVertical,0.4796252797758844,0.02014794194922868,0.04871070485254325,0.875888796869564,-0.01143105793744326,-0.8421596884727478,-0.5391073226928711,-9.212501525878906,-44.33713912963867,-19.50258636474609,-1,2,251693.14941925,unknown,2,2026-05-26T14:17:18.588+02:00,null,0,0,0,0,0,0,0,null,251696.218078,0,1.183754,102.1024,1779797844.704967,192.168.178.63,192.0.0.2,my_iOS_device,0,1,1779797844.681384,2,0.4,0
2026-05-26T14:17:24.956+02:00,10,1779797843.999583,53.23130094896739,10.39893779159506,37.29483,0.3256732,0.8009471,281.720504837297,180,3,2.10259490663335,-9999,1779797844.945843,-9.350433349609375,-44.3754768371582,-19.36200714111328,136.2947998046875,131.9432525634766,12.08094310760498,251699.5059857917,0.0095672607421875,-0.835357666015625,-0.5162200927734375,251699.4959837917,0.1108993515372276,-0.2944649159908295,-0.06704641133546829,251699.5091767917,34.73735046386719,-72.84228515625,-108.0933685302734,251699.4809797917,0.1199527559529572,-0.02446503234970056,1.003675430760099,0.1216399073600769,-0.2697145938873291,-0.07641293108463287,0.01172254979610443,0.003515779972076416,-0.0009490847587585449,XArbitraryCorrectedZVertical,0.4807794039736384,0.01812673357853601,0.04667226927274477,0.8754109492749412,-0.0131414495408535,-0.8434511423110962,-0.5370451807975769,-9.336288452148438,-44.45357131958008,-19.44844818115234,-1,2,251693.14941925,unknown,2,2026-05-26T14:17:18.588+02:00,null,0,0,0,0,0,0,0,null,251696.218078,0,1.183754,102.1024,1779797844.704967,192.168.178.63,192.0.0.2,my_iOS_device,0,1,1779797844.681384,2,0.4,0
