loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),label
2026-05-05T17:18:22.203+02:00,1777994301.000206,53.23567559016271,10.40148929693773,27.11746,0,0.3080157,-1,-1,8,6.336596657109493,-9999,3961.919403541667,0.066253662109375,-0.073944091796875,-0.9742584228515625,3961.914367541667,-6.30126391542935e-18,-3.011254116515924e-18,-2.984596159444853e-18,0.2076012790203094,-0.1004581600427628,0.0720311775803566,0.03676990419626236,-0.001215800642967224,-0.04128527641296387,XArbitraryZVertical,-1.492298016894635e-18,-1.505626994869003e-18,-3.150631825068759e-18,1.00000004210137,0.06895827502012253,-0.165837436914444,-0.9837391376495361,0,0,0,-1,-1,2026-05-05T16:12:27.330+02:00,1853,1.428074,0,0,1618.589,0,0,2026-05-05T17:18:20.497+02:00,799687100.5986646,0,0.8699999,100.7547,0
2026-05-05T17:18:22.204+02:00,1777994301.000206,53.23567559016271,10.40148929693773,27.11746,0,0.3080157,-1,-1,8,6.336596657109493,-9999,3961.929477541667,0.1660003662109375,-0.201324462890625,-0.9736785888671875,3961.924440541667,0.0003997791419796289,-0.0006192515138129156,0.001678557346561155,0.1375113725662231,-0.03297366201877594,0.02194444835186005,-0.01397689431905746,0.07466627657413483,-0.01037943363189697,XArbitraryZVertical,0.0008393403690038102,-0.000309457859085993,0.0001996296180094684,0.9999996272216528,0.06828294694423676,-0.1675160080194473,-0.9835017919540405,0,0,0,-1,-1,2026-05-05T16:12:27.330+02:00,1853,1.428074,0,0,1618.589,0,0,2026-05-05T17:18:20.497+02:00,799687100.5986646,0,0.8699999,100.7547,0
2026-05-05T17:18:22.210+02:00,1777994301.000206,53.23567559016271,10.40148929693773,27.11746,0,0.3080157,-1,-1,8,6.336596657109493,-9999,3961.939550541667,0.1089935302734375,-0.1675872802734375,-0.952972412109375,3961.934513541667,0.0008131704896410861,-0.0009237070365721912,0.003138259022129746,0.1509107947349548,-0.03653990104794502,0.05957198515534401,0.05766469240188599,0.03772374987602234,0.0122227668762207,XArbitraryZVertical,0.001569316298353162,-0.0004612148946323862,0.0004058599681135764,0.9999986145149303,0.0679151639342308,-0.1689798533916473,-0.9832768440246582,0,0,0,-1,-1,2026-05-05T16:12:27.330+02:00,1853,1.428074,0,0,1618.589,0,0,2026-05-05T17:18:20.497+02:00,799687100.5986646,0,0.8699999,100.7547,0
2026-05-05T17:18:22.221+02:00,1777994301.000206,53.23567559016271,10.40148929693773,27.11746,0,0.3080157,-1,-1,8,6.336596657109493,-9999,3961.949623541667,0.098175048828125,-0.1188201904296875,-0.9524993896484375,3961.944586541667,0.001235774937922323,-0.001363109109596961,0.004533377279368206,0.124879889190197,-0.05156359449028969,0.02244691923260689,0.08039860427379608,-0.03852763772010803,0.01921772956848145,XArbitraryZVertical,0.00226710683172658,-0.0006801520549996928,0.0006163408202930674,0.9999970223997495,0.06741330772638321,-0.1703804582357407,-0.9830696582794189,0,0,0,-1,-1,2026-05-05T16:12:27.330+02:00,1853,1.428074,0,0,1618.589,0,0,2026-05-05T17:18:20.497+02:00,799687100.5986646,0,0.8699999,100.7547,0
2026-05-05T17:18:22.231+02:00,1777994302.000194,53.2356729079537,10.40149281733706,27.82473,0,0.8273451,-1,-1,7.999999999999999,5.429927758788004,-9999,3961.959696541667,0.097686767578125,-0.1385650634765625,-0.9473724365234375,3961.954659541667,0.001410627579750562,-0.001862689124108733,0.00561810538065856,0.08999381214380264,-0.04713528975844383,0.01842448115348816,0.02700909972190857,0.04125536978244781,0.03177636861801147,XArbitraryZVertical,0.002809704018070473,-0.0009293592782538163,0.0007026944640873549,0.9999953556780062,0.06689351052045822,-0.1714586168527603,-0.9829176664352417,0,0,0,-1,-1,2026-05-05T16:12:27.330+02:00,1853,1.428074,0,0,1618.589,0,0,2026-05-05T17:18:20.497+02:00,799687100.5986646,0,0.8699999,100.7547,0
2026-05-05T17:18:22.241+02:00,1777994302.000194,53.2356729079537,10.40149281733706,27.82473,0,0.8273451,-1,-1,7.999999999999999,5.429927758788004,-9999,3961.969769541667,0.09307861328125,-0.1549072265625,-0.95098876953125,3961.964732541667,0.001664591786907516,-0.002266751777285002,0.006355764748562887,0.05102664604783058,-0.03244262933731079,0.03310289233922958,0.03474181145429611,0.04546152055263519,0.03221040964126587,XArbitraryZVertical,0.003178816878674491,-0.001130724490939702,0.0008286892544596544,0.999994060493852,0.06645449995994568,-0.1722010225057602,-0.9828177094459534,0,0,0,-1,-1,2026-05-05T16:12:27.330+02:00,1853,1.428074,0,0,1618.589,0,0,2026-05-05T17:18:20.497+02:00,799687100.5986646,0,0.8699999,100.7547,0
2026-05-05T17:18:22.252+02:00,1777994302.000194,53.2356729079537,10.40149281733706,27.82473,0,0.8273451,-1,-1,7.999999999999999,5.429927758788004,-9999,3961.979842541667,0.0959014892578125,-0.1637420654296875,-0.9586639404296875,3961.974805541667,0.002174261698378225,-0.002534592733699958,0.006625587426388559,0.005743319634348154,-0.02180170267820358,0.0653335303068161,0.02794841676950455,0.02444508671760559,0.03546184301376343,XArbitraryZVertical,0.003314160648247185,-0.001263686858136485,0.001082925485263234,0.9999931524066584,0.06610678136348724,-0.1725011318922043,-0.9827885031700134,0,0,0,-1,-1,2026-05-05T16:12:27.330+02:00,1853,1.428074,0,0,1618.589,0,0,2026-05-05T17:18:20.497+02:00,799687100.5986646,0,0.8699999,100.7547,0
2026-05-05T17:18:22.261+02:00,1777994302.000194,53.2356729079537,10.40149281733706,27.82473,0,0.8273451,-1,-1,7.999999999999999,5.429927758788004,-9999,3961.989915541667,0.0854644775390625,-0.165191650390625,-0.9642486572265625,3961.984878541667,0.002898462082996354,-0.002718251325358006,0.006400601313200585,-0.05189654231071472,-0.01429052278399467,0.07702681422233582,0.02913423627614975,0.01206666231155396,0.02724188566207886,XArbitraryZVertical,0.003202258196933004,-0.001354478746391886,0.001444872017374328,0.9999930226299236,0.06580596417188644,-0.1723297089338303,-0.9828387498855591,0,0,0,-1,-1,2026-05-05T16:12:27.330+02:00,1853,1.428074,0,0,1618.589,0,0,2026-05-05T17:18:20.497+02:00,799687100.5986646,0,0.8699999,100.7547,0
2026-05-05T17:18:22.271+02:00,1777994302.000194,53.2356729079537,10.40149281733706,27.82473,0,0.8273451,-1,-1,7.999999999999999,5.429927758788004,-9999,3961.999988541667,0.0837860107421875,-0.166839599609375,-0.974517822265625,3961.994951541667,0.003763157528845944,-0.002807181683182993,0.005621386275077557,-0.0964653417468071,-0.006454703398048878,0.1003174781799316,0.02687843888998032,0.005409106612205505,0.02236080169677734,XArbitraryZVertical,0.002813322387991763,-0.00139829369939786,0.00187762314729928,0.9999933940066154,0.06557458639144897,-0.171623095870018,-0.9829778671264648,0,0,0,-1,-1,2026-05-05T16:12:27.330+02:00,1853,1.428074,0,0,1618.589,0,0,2026-05-05T17:18:20.497+02:00,799687100.5986646,0,0.8699999,100.7547,0
2026-05-05T17:18:22.281+02:00,1777994302.000194,53.2356729079537,10.40149281733706,27.82473,0,0.8273451,-1,-1,7.999999999999999,5.429927758788004,-9999,3962.010061541667,0.0957794189453125,-0.182220458984375,-0.9857940673828125,3962.005024541667,0.004814221642994346,-0.002704767202567951,0.00444634237858162,-0.1316105425357819,0.02747077308595181,0.1064269095659256,0.01560039818286896,0.00630950927734375,0.01455867290496826,XArbitraryZVertical,0.002226416158946003,-0.001347024493953736,0.002404093725011321,0.999993746969094,0.06550008803606033,-0.1705398708581924,-0.9831713438034058,0,0,0,-1,-1,2026-05-05T16:12:27.330+02:00,1853,1.428074,0,0,1618.589,0,0,2026-05-05T17:18:20.497+02:00,799687100.5986646,0,0.8699999,100.7547,0
