loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),label
2026-05-26T16:00:10.312+02:00,1779804009.999796,53.23609491349372,10.40157582830295,26.00906,0,0.3080157,-1,-1,4.029364438188564,2.000344067697187,-9999,3877.937406916667,-0.1202392578125,-0.2576141357421875,-0.9916839599609375,3877.927330916667,-0.2954816718697877,0.09814247610276912,-0.08024151378704869,0.9329952597618103,-0.02250143326818943,-0.2536518573760986,-0.073284812271595,0.137732595205307,-0.08756774663925171,XArbitraryZVertical,-0.0324105159972739,0.05437539120383821,-0.1488544787757923,0.9868308169610095,-0.1120789721608162,-0.2621985375881195,-0.9584832787513733,0,0,0,-1,-1,2026-05-26T14:10:01.685+02:00,1671,1.093336,0,0,1393.844,0,0,2026-05-26T15:58:47.639+02:00,801496807.6966702,0,2.65,102.232,0
2026-05-26T16:00:10.314+02:00,1779804009.999796,53.23609491349372,10.40157582830295,26.00906,0,0.3080157,-1,-1,4.029364438188564,2.000344067697187,-9999,3877.947482916667,-0.0582733154296875,-0.449493408203125,-0.90936279296875,3877.937406916667,-0.00353019210362904,-0.0007281217242524009,0.005835120276260678,0.1810203641653061,-0.128384456038475,-0.4147545397281647,-0.06841792911291122,0.2106400728225708,-0.06357800960540771,XArbitraryZVertical,0.002916908893926443,-0.0003692085313092624,-0.001766149813191243,0.9999940382665018,-0.1118494123220444,-0.2681809365749359,-0.9568535089492798,0,0,0,-1,-1,2026-05-26T14:10:01.685+02:00,1671,1.093336,0,0,1393.844,0,0,2026-05-26T15:58:47.639+02:00,801496807.6966702,0,2.65,102.232,0
2026-05-26T16:00:10.316+02:00,1779804009.999796,53.23609491349372,10.40157582830295,26.00906,0,0.3080157,-1,-1,4.029364438188564,2.000344067697187,-9999,3877.957557916667,-0.025390625,-0.47412109375,-0.8683319091796875,3877.947482916667,-0.007883061494872449,-0.002655789571126177,0.003887660579008831,-0.544073224067688,-0.2787366509437561,-0.4417857527732849,0.001528039574623108,-0.0258653461933136,-0.02793437242507935,XArbitraryZVertical,0.001938578443358617,-0.001335543280225814,-0.00394409101333098,0.9999893970875028,-0.1125510036945343,-0.266798198223114,-0.9571577906608582,0,0,0,-1,-1,2026-05-26T14:10:01.685+02:00,1671,1.093336,0,0,1393.844,0,0,2026-05-26T15:58:47.639+02:00,801496810.2775888,0,2.61,102.2324,0
2026-05-26T16:00:10.317+02:00,1779804009.999796,53.23609491349372,10.40157582830295,26.00906,0,0.3080157,-1,-1,4.029364438188564,2.000344067697187,-9999,3877.967633916667,-0.0501251220703125,-0.3858184814453125,-0.87945556640625,3877.957557916667,-0.01223262585946395,-0.006238410546959225,-0.004097287634613663,-1.007750391960144,-0.4244563281536102,-0.3968864679336548,0.06281476467847824,-0.1989518105983734,0.05907702445983887,XArbitraryZVertical,-0.002067672050988527,-0.003106605482901884,-0.006109842507121263,0.9999743211356661,-0.1148472502827644,-0.2596205472946167,-0.9588572978973389,0,0,0,-1,-1,2026-05-26T14:10:01.685+02:00,1671,1.093336,0,0,1393.844,0,0,2026-05-26T15:58:47.639+02:00,801496810.2775888,0,2.61,102.2324,0
2026-05-26T16:00:10.323+02:00,1779804009.999796,53.23609491349372,10.40157582830295,26.00906,0,0.3080157,-1,-1,4.029364438188564,2.000344067697187,-9999,3877.977709916667,-0.10418701171875,-0.24346923828125,-0.8994293212890625,3877.967633916667,-0.01590831550366287,-0.01083973061303059,-0.015160235324479,-1.150170087814331,-0.4755900800228119,-0.3122338354587555,0.09334053844213486,-0.2202320396900177,0.09179419279098511,XArbitraryZVertical,-0.00762280284649674,-0.005359220490242275,-0.007912647556828916,0.9999252351299329,-0.118319183588028,-0.2493876963853836,-0.9611484408378601,0,0,0,-1,-1,2026-05-26T14:10:01.685+02:00,1671,1.093336,0,0,1393.844,0,0,2026-05-26T15:58:47.639+02:00,801496810.2775888,0,2.61,102.2324,0
2026-05-26T16:00:10.340+02:00,1779804009.999796,53.23609491349372,10.40157582830295,26.00906,0,0.3080157,-1,-1,4.029364438188564,2.000344067697187,-9999,3877.987785916667,-0.1670379638671875,-0.1951141357421875,-0.9168548583984375,3877.977709916667,-0.01899254290297712,-0.01545979049896254,-0.02563883091263022,-0.9086226224899292,-0.4293586611747742,-0.2760103046894073,0.06641117483377457,-0.127642497420311,0.08225226402282715,XArbitraryZVertical,-0.01289150084318944,-0.007607106861153285,-0.009395980304620716,0.9998438050355329,-0.1219836995005608,-0.2396212816238403,-0.9631726741790771,0,0,0,-1,-1,2026-05-26T14:10:01.685+02:00,1671,1.093336,0,0,1393.844,0,0,2026-05-26T15:58:47.639+02:00,801496810.2775888,0,2.61,102.2324,0
2026-05-26T16:00:10.343+02:00,1779804009.999796,53.23609491349372,10.40157582830295,26.00906,0,0.3080157,-1,-1,4.029364438188564,2.000344067697187,-9999,3877.997860916667,-0.2132568359375,-0.204742431640625,-0.9148406982421875,3877.987785916667,-0.02156430227976023,-0.01928898838933354,-0.0330875779089613,-0.5887197256088257,-0.3066295683383942,-0.1948025226593018,0.01296459138393402,0.002415791153907776,0.06236362457275391,XArbitraryZVertical,-0.01664527473314276,-0.009464107078002491,-0.01062042844697384,0.9997602083550527,-0.1250251531600952,-0.2327014207839966,-0.9644784927368164,0,0,0,-1,-1,2026-05-26T14:10:01.685+02:00,1671,1.093336,0,0,1393.844,0,0,2026-05-26T15:58:47.639+02:00,801496810.2775888,0,2.61,102.2324,0
2026-05-26T16:00:10.353+02:00,1779804009.999796,53.23609491349372,10.40157582830295,26.00906,0,0.3080157,-1,-1,4.029364438188564,2.000344067697187,-9999,3878.007936916667,-0.2215576171875,-0.0986328125,-0.9455108642578125,3877.997860916667,-0.01777969077400203,-0.02428661351130565,-0.03276717076983622,0.5045968890190125,-0.2352070361375809,0.7751854658126831,-0.0432153046131134,0.03640925884246826,0.04521143436431885,XArbitraryZVertical,-0.01648893268760416,-0.01199527182433037,-0.008688951565041092,0.9997542219437907,-0.1308417022228241,-0.2326067537069321,-0.9637295007705688,0,0,0,-1,-1,2026-05-26T14:10:01.685+02:00,1671,1.093336,0,0,1393.844,0,0,2026-05-26T15:58:47.639+02:00,801496810.2775888,0,2.61,102.2324,0
2026-05-26T16:00:10.363+02:00,1779804009.999796,53.23609491349372,10.40157582830295,26.00906,0,0.3080157,-1,-1,4.029364438188564,2.000344067697187,-9999,3878.018012916667,-0.2919464111328125,-0.0256195068359375,-0.9373779296875,3878.007936916667,-0.01336135607072534,-0.02518853000082406,-0.02878563377340069,0.2794330716133118,-0.08622874319553375,0.001951082842424512,-0.08298292756080627,0.03413337469100952,0.04791587591171265,XArbitraryZVertical,-0.01447498620940563,-0.01249620630809792,-0.006498155668748458,0.9997958806343875,-0.1328526735305786,-0.2359766215085983,-0.9626345038414001,0,0,0,-1,-1,2026-05-26T14:10:01.685+02:00,1671,1.093336,0,0,1393.844,0,0,2026-05-26T15:58:47.639+02:00,801496810.2775888,0,2.61,102.2324,0
2026-05-26T16:00:10.373+02:00,1779804009.999796,53.23609491349372,10.40157582830295,26.00906,0,0.3080157,-1,-1,4.029364438188564,2.000344067697187,-9999,3878.028088916667,-0.156402587890625,-0.1826019287109375,-0.8940887451171875,3878.018012916667,-0.01609880222155618,-0.02474769914557548,-0.02573943852345619,0.3570085465908051,0.08436030149459839,-0.4368361234664917,-0.09485861659049988,0.1617444306612015,0.007497131824493408,XArbitraryZVertical,-0.0129675538482059,-0.01226852826070197,-0.007888798077864816,0.99980939590653,-0.1316886097192764,-0.2392132729291916,-0.9619953632354736,0,0,0,-1,-1,2026-05-26T14:10:01.685+02:00,1671,1.093336,0,0,1393.844,0,0,2026-05-26T15:58:47.639+02:00,801496810.2775888,0,2.61,102.2324,0
