loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R)
2026-04-24T18:21:01.742+02:00,1777047653.571205,53.56895416345577,9.882977505173033,38.55946,-1,-1,-1,-1,9.056828472500998,2.789105338997707,-9999,3276.32563625,0.178680419921875,-0.52874755859375,-0.822235107421875,3276.31682525,0.04766885797968042,0.2060165668390649,0.5571673299952956,0.0327138751745224,0.02403227612376213,-0.02580740861594677,0.007299885153770447,0.001959145069122314,0.007794857025146484,XArbitraryZVertical,0.2711027568584332,0.1053527308531126,0.05106046803594387,0.9554040733095488,0.1736235916614532,-0.5287840962409973,-0.8308082222938538,0,0,0,-1,-1,3230.927795875,unknown,2,2026-04-24T18:20:16.323+02:00,null,0,0,0,0,0,0,0,null,798740460.2590986,0,0.75,101.556,1,0.85
2026-04-24T18:21:01.752+02:00,1777047653.571205,53.56895416345577,9.882977505173033,38.55946,-1,-1,-1,-1,9.056828472500998,2.789105338997707,-9999,3276.33571125,0.179443359375,-0.5276336669921875,-0.82012939453125,3276.32690025,0.04734583559269125,0.2063517143843256,0.5573638285283266,0.02393796294927597,0.01795813627541065,-0.02386117167770863,0.004799708724021912,0.0002033114433288574,0.008413136005401611,XArbitraryZVertical,0.2712052288433418,0.1054684842501299,0.05096067927321039,0.9553675569876858,0.1738807260990143,-0.5289508700370789,-0.8306482434272766,0,0,0,-1,-1,3230.927795875,unknown,2,2026-04-24T18:20:16.323+02:00,null,0,0,0,0,0,0,0,null,798740460.2590986,0,0.75,101.556,1,0.85
2026-04-24T18:21:01.761+02:00,1777047653.571205,53.56895416345577,9.882977505173033,38.55946,-1,-1,-1,-1,9.056828472500998,2.789105338997707,-9999,3276.34578625,0.18408203125,-0.5279083251953125,-0.8172149658203125,3276.33697525,0.04712116590313296,0.2065732186498151,0.5574973626363751,0.0167000237852335,0.01106800697743893,-0.01207075733691454,0.005393132567405701,0.001430511474609375,0.01041120290756226,XArbitraryZVertical,0.2712753234083815,0.1055434406649007,0.05088958425844241,0.9553431440632235,0.1740502268075943,-0.5290641784667969,-0.8305405378341675,0,0,0,-1,-1,3230.927795875,unknown,2,2026-04-24T18:20:16.323+02:00,null,0,0,0,0,0,0,0,null,798740460.2590986,0,0.75,101.556,1,0.85
2026-04-24T18:21:01.772+02:00,1777047653.571205,53.56895416345577,9.882977505173033,38.55946,-1,-1,-1,-1,9.056828472500998,2.789105338997707,-9999,3276.35586125,0.183349609375,-0.5316314697265625,-0.8155975341796875,3276.34705025,0.04698979344619498,0.2066864497408379,0.5575503912497134,0.007298798765987158,0.005621575750410557,-0.007750310935080051,0.009943529963493347,0.001200854778289795,0.01327842473983765,XArbitraryZVertical,0.2713047301855834,0.1055795461941487,0.05084464313464403,0.9553332404092491,0.1741385161876678,-0.5291091799736023,-0.8304933905601501,0,0,0,-1,-1,3230.927795875,unknown,2,2026-04-24T18:20:16.323+02:00,null,0,0,0,0,0,0,0,null,798740460.2590986,0,0.75,101.556,1,0.85
2026-04-24T18:21:01.782+02:00,1777047653.571205,53.56895416345577,9.882977505173033,38.55946,-1,-1,-1,-1,9.056828472500998,2.789105338997707,-9999,3276.36593625,0.178314208984375,-0.532501220703125,-0.814208984375,3276.35712525,0.04696453941672471,0.206684045488591,0.5574699582806772,-0.01039289962500334,0.0001988476142287254,-0.002261935500428081,0.009204372763633728,-0.002590537071228027,0.01493793725967407,XArbitraryZVertical,0.2712676492850468,0.1055752097112363,0.05082852454301776,0.9553451110557161,0.1741452515125275,-0.5290409326553345,-0.8305354714393616,0,0,0,-1,-1,3230.927795875,unknown,2,2026-04-24T18:20:16.323+02:00,null,0,0,0,0,0,0,0,null,798740460.2590986,0,0.75,101.556,1,0.85
2026-04-24T18:21:01.792+02:00,1777047653.571205,53.56895416345577,9.882977505173033,38.55946,-1,-1,-1,-1,9.056828472500998,2.789105338997707,-9999,3276.37601125,0.1780853271484375,-0.5301513671875,-0.815826416015625,3276.36720025,0.04704758759045427,0.2066208166859006,0.5573058558848512,-0.0190697442740202,-0.001964438240975142,0.007662600371986628,0.004203677177429199,-0.003599584102630615,0.01642251014709473,XArbitraryZVertical,0.271186365756991,0.1055567483503652,0.05085200970124629,0.955369010715349,0.174110546708107,-0.5289016366004944,-0.83063143491745,0,0,0,-1,-1,3230.927795875,unknown,2,2026-04-24T18:20:16.323+02:00,null,0,0,0,0,0,0,0,null,798740460.2590986,0,0.75,101.556,1,0.85
2026-04-24T18:21:01.802+02:00,1777047653.571205,53.56895416345577,9.882977505173033,38.55946,-1,-1,-1,-1,9.056828472500998,2.789105338997707,-9999,3276.38608625,0.1782989501953125,-0.5246429443359375,-0.8187713623046875,3276.37727525,0.04722141628802938,0.2065063909674636,0.5571171580571418,-0.01767328940331936,-0.003323715645819902,0.01003627572208643,0.004049375653266907,-0.00140988826751709,0.0149226188659668,XArbitraryZVertical,0.2710898606977661,0.1055262120968658,0.05091080137698462,0.9553965649407221,0.1740359514951706,-0.5287414789199829,-0.8307490348815918,0,0,0,-1,-1,3230.927795875,unknown,2,2026-04-24T18:20:16.323+02:00,null,0,0,0,0,0,0,0,null,798740460.2590986,0,0.75,101.556,1,0.85
2026-04-24T18:21:01.812+02:00,1777047653.571205,53.56895416345577,9.882977505173033,38.55946,-1,-1,-1,-1,9.056828472500998,2.789105338997707,-9999,3276.39616125,0.1783447265625,-0.52032470703125,-0.822113037109375,3276.38735025,0.04739586466803152,0.2063819570239505,0.5569517400634618,-0.018956134095788,-0.005392459686845541,0.01265096757560968,0.004348441958427429,0.003958165645599365,0.0120849609375,XArbitraryZVertical,0.2710046751628082,0.1054908738189871,0.05096960757161588,0.9554215680172374,0.1739505082368851,-0.5286011099815369,-0.8308562636375427,0,0,0,-1,-1,3230.927795875,unknown,2,2026-04-24T18:20:16.323+02:00,null,0,0,0,0,0,0,0,null,798740460.2590986,0,0.75,101.556,1,0.85
2026-04-24T18:21:01.822+02:00,1777047653.571205,53.56895416345577,9.882977505173033,38.55946,-1,-1,-1,-1,9.056828472500998,2.789105338997707,-9999,3276.40623625,0.176116943359375,-0.5188446044921875,-0.821380615234375,3276.39742525,0.04757081808837089,0.2062521273870133,0.5568164270194657,-0.01720968633890152,-0.003472320269793272,0.01419646665453911,0.004487454891204834,0.008161544799804688,0.008835852146148682,XArbitraryZVertical,0.2709340434815796,0.1054529411707461,0.05102934465914102,0.9554425434404521,0.1738572865724564,-0.5284861922264099,-0.8309488296508789,0,0,0,-1,-1,3230.927795875,unknown,2,2026-04-24T18:20:16.323+02:00,null,0,0,0,0,0,0,0,null,798740460.2590986,0,0.75,101.556,1,0.85
2026-04-24T18:21:01.832+02:00,1777047653.571205,53.56895416345577,9.882977505173033,38.55946,-1,-1,-1,-1,9.056828472500998,2.789105338997707,-9999,3276.41631125,0.173828125,-0.521148681640625,-0.823211669921875,3276.40750025,0.04775686412568599,0.2061226329613939,0.5567108304067095,-0.01447914820164442,-0.006516313645988703,0.01502204686403275,0.002355858683586121,0.009551942348480225,0.009645342826843262,XArbitraryZVertical,0.2708770116623563,0.1054165625475998,0.05109579901391822,0.9554592205558671,0.1737610995769501,-0.5283965468406677,-0.8310259580612183,0,0,0,-1,-1,3230.927795875,unknown,2,2026-04-24T18:20:16.323+02:00,null,0,0,0,0,0,0,0,null,798740460.2590986,0,0.75,101.556,1,0.85
