loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R),label
2026-05-05T16:21:05.830+02:00,1777990865.00041,53.23571364400311,10.40164763108864,18.92398,0,0.3080157,-1,-1,4.029364438188564,4.748651530191761,-9999,1173.569692,0.1827392578125,-0.6760711669921875,-0.72723388671875,1173.564656,0.004662563951792565,-0.002256637388679129,-0.01013763050548716,-0.1130187511444092,0.0214576218277216,0.03391429036855698,0.05643506348133087,0.01350480318069458,-0.02278536558151245,XArbitraryZVertical,-0.005066146274895805,-0.001140117690506947,0.002336967685321309,0.9999837624951167,0.1308207809925079,-0.6833198070526123,-0.7183035016059875,0,0,0,-1,-1,1163.108449375,unknown,2,2026-05-05T16:20:55.364+02:00,2026-05-05T16:12:27.330+02:00,645,0.8168712,0,0,506.8798,0,0,2026-05-05T16:20:39.892+02:00,799683665.7676581,0,0.009999275,100.7644,1,0.75,0
2026-05-05T16:21:05.844+02:00,1777990865.00041,53.23571364400311,10.40164763108864,18.92398,0,0.3080157,-1,-1,4.029364438188564,4.748651530191761,-9999,1173.579766,0.17742919921875,-0.656890869140625,-0.723724365234375,1173.574729,0.00507346534379165,-0.002067149353308948,-0.01111539402725511,-0.07796968519687653,0.02070687711238861,0.04101374372839928,0.05499719083309174,0.001504242420196533,-0.01249879598617554,XArbitraryZVertical,-0.005555025848437899,-0.001047653531091493,0.00254243373631648,0.9999807619496057,0.1306717395782471,-0.6826717853546143,-0.7189465165138245,0,0,0,-1,-1,1163.108449375,unknown,2,2026-05-05T16:20:55.364+02:00,2026-05-05T16:12:27.330+02:00,645,0.8168712,0,0,506.8798,0,0,2026-05-05T16:20:39.892+02:00,799683665.7676581,0,0.009999275,100.7644,1,0.75,0
2026-05-05T16:21:05.850+02:00,1777990865.00041,53.23571364400311,10.40164763108864,18.92398,0,0.3080157,-1,-1,4.029364438188564,4.748651530191761,-9999,1173.589839,0.1824798583984375,-0.6517181396484375,-0.723846435546875,1173.584802,0.005525140101867237,-0.00188295863166522,-0.0116207806673599,-0.03206717595458031,0.01889858953654766,0.03992191702127457,0.04795995354652405,0.01619994640350342,-0.005784392356872559,XArbitraryZVertical,-0.005807732200881083,-0.0009575112120117596,0.002767989067598367,0.9999788175724684,0.1304915547370911,-0.6823680996894836,-0.7192674279212952,0,0,0,-1,-1,1163.108449375,unknown,2,2026-05-05T16:20:55.364+02:00,2026-05-05T16:12:27.330+02:00,645,0.8168712,0,0,506.8798,0,0,2026-05-05T16:20:39.892+02:00,799683665.7676581,0,0.009999275,100.7644,1,0.75,0
2026-05-05T16:21:05.860+02:00,1777990865.00041,53.23571364400311,10.40164763108864,18.92398,0,0.3080157,-1,-1,4.029364438188564,4.748651530191761,-9999,1173.599913,0.17822265625,-0.6434478759765625,-0.7241363525390625,1173.594876,0.00592280238195069,-0.001709333332111906,-0.01163674736399161,0.02046207897365093,0.02161581255495548,0.03777381032705307,0.04991030693054199,0.02991271018981934,-0.003644585609436035,XArbitraryZVertical,-0.005815782171685375,-0.0008718787453800828,0.002966318333075026,0.999978322180647,0.1303417682647705,-0.6824090480804443,-0.719255805015564,0,0,0,-1,-1,1163.108449375,unknown,2,2026-05-05T16:20:55.364+02:00,2026-05-05T16:12:27.330+02:00,645,0.8168712,0,0,506.8798,0,0,2026-05-05T16:20:39.892+02:00,799683665.7676581,0,0.009999275,100.7644,1,0.75,0
2026-05-05T16:21:05.870+02:00,1777990865.00041,53.23571364400311,10.40164763108864,18.92398,0,0.3080157,-1,-1,4.029364438188564,4.748651530191761,-9999,1173.609986,0.1763153076171875,-0.6473388671875,-0.7351226806640625,1173.604949,0.006354629504197945,-0.001519236338081554,-0.01133710635264809,0.03491159155964851,0.0217572282999754,0.0433170460164547,0.05084976553916931,0.03370964527130127,-0.004209399223327637,XArbitraryZVertical,-0.005666079124344313,-0.0007776127113813266,0.003181563364775926,0.9999785740386057,0.1301805078983307,-0.6826812028884888,-0.7190266847610474,0,0,0,-1,-1,1163.108449375,unknown,2,2026-05-05T16:20:55.364+02:00,2026-05-05T16:12:27.330+02:00,645,0.8168712,0,0,506.8798,0,0,2026-05-05T16:20:39.892+02:00,799683665.7676581,0,0.009999275,100.7644,1,0.75,0
2026-05-05T16:21:05.885+02:00,1777990865.00041,53.23571364400311,10.40164763108864,18.92398,0,0.3080157,-1,-1,4.029364438188564,4.748651530191761,-9999,1173.620059,0.1822509765625,-0.665985107421875,-0.7463836669921875,1173.615023,0.00685399164583317,-0.001302805797365325,-0.01102327882955878,0.02120297029614449,0.02760579623281956,0.05015790835022926,0.04514892399311066,0.04118764400482178,-0.009548068046569824,XArbitraryZVertical,-0.005509345355913474,-0.0006702773230967695,0.003430526404736362,0.9999787693734408,0.1299914568662643,-0.6829723119735718,-0.7187844514846802,0,0,0,-1,-1,1163.108449375,unknown,2,2026-05-05T16:20:55.364+02:00,2026-05-05T16:12:27.330+02:00,645,0.8168712,0,0,506.8798,0,0,2026-05-05T16:20:39.892+02:00,799683665.7676581,0,0.009999275,100.7644,1,0.75,0
2026-05-05T16:21:05.891+02:00,1777990865.00041,53.23571364400311,10.40164763108864,18.92398,0,0.3080157,-1,-1,4.029364438188564,4.748651530191761,-9999,1173.630133,0.182159423828125,-0.6782073974609375,-0.75714111328125,1173.625096,0.007440198570321825,-0.001033893342472392,-0.01096347303664041,-0.01243232842534781,0.03170306980609894,0.05733506008982658,0.04911427199840546,0.02711653709411621,-0.02205938100814819,XArbitraryZVertical,-0.005479747196678379,-0.0005373277411839044,0.003722867947336122,0.9999779381584968,0.1297797709703445,-0.6830918788909912,-0.7187090516090393,0,0,0,-1,-1,1163.108449375,unknown,2,2026-05-05T16:20:55.364+02:00,2026-05-05T16:12:27.330+02:00,645,0.8168712,0,0,506.8798,0,0,2026-05-05T16:20:39.892+02:00,799683665.7676581,0,0.009999275,100.7644,1,0.75,0
2026-05-05T16:21:05.901+02:00,1777990865.00041,53.23571364400311,10.40164763108864,18.92398,0,0.3080157,-1,-1,4.029364438188564,4.748651530191761,-9999,1173.640206,0.1761932373046875,-0.6772613525390625,-0.7579345703125,1173.63517,0.008023684714714126,-0.00069032191159575,-0.01122383338032277,-0.04699749499559402,0.03748452663421631,0.05391716212034225,0.05401611328125,0.009076416492462158,-0.03283566236495972,XArbitraryZVertical,-0.00561045669471944,-0.0003676666564938402,0.004013704930238388,0.9999761987954326,0.1296233981847763,-0.6829808354377747,-0.7188428044319153,0,0,0,-1,-1,1163.108449375,unknown,2,2026-05-05T16:20:55.364+02:00,2026-05-05T16:12:27.330+02:00,645,0.8168712,0,0,506.8798,0,0,2026-05-05T16:20:39.892+02:00,799683665.7676581,0,0.009999275,100.7644,1,0.75,0
2026-05-05T16:21:05.911+02:00,1777990865.00041,53.23571364400311,10.40164763108864,18.92398,0,0.3080157,-1,-1,4.029364438188564,4.748651530191761,-9999,1173.65028,0.17047119140625,-0.6743011474609375,-0.7534027099609375,1173.645243,0.008632196992015213,-0.0002885293069615515,-0.01178830453820222,-0.0659254863858223,0.04326438531279564,0.06303982436656952,0.05057735741138458,0.003714263439178467,-0.03958165645599365,XArbitraryZVertical,-0.00589344006009958,-0.0001697003008523139,0.004316860037149949,0.9999733814015098,0.1294915974140167,-0.682654082775116,-0.7191768884658813,0,0,0,-1,-1,1163.108449375,unknown,2,2026-05-05T16:20:55.364+02:00,2026-05-05T16:12:27.330+02:00,645,0.8168712,0,0,506.8798,0,0,2026-05-05T16:20:39.892+02:00,799683665.7676581,0,0.009999275,100.7644,1,0.75,0
2026-05-05T16:21:05.921+02:00,1777990865.00041,53.23571364400311,10.40164763108864,18.92398,0,0.3080157,-1,-1,4.029364438188564,4.748651530191761,-9999,1173.660353,0.1700897216796875,-0.6702117919921875,-0.739654541015625,1173.655316,0.009312299123182859,0.0001173831621153911,-0.01230358575766427,-0.03857935220003128,0.0384182296693325,0.06519778072834015,0.04372113943099976,0.006468236446380615,-0.03748095035552979,XArbitraryZVertical,-0.006151959943075054,3.004645389461739e-05,0.004655683035916174,0.9999703534782358,0.1293135285377502,-0.6823714971542358,-0.7194770574569702,0,0,0,-1,-1,1163.108449375,unknown,2,2026-05-05T16:20:55.364+02:00,2026-05-05T16:12:27.330+02:00,645,0.8168712,0,0,506.8798,0,0,2026-05-05T16:20:39.892+02:00,799683665.7676581,0,0.009999275,100.7644,1,0.75,0
