,Vorhand,Rueckhand,Schlaeger drehen,Aufschlag von unten,Kein Schlag / Other
Vorhand,162,1,0,1,6
Rueckhand,0,86,0,0,9
Schlaeger drehen,0,0,51,0,2
Aufschlag von unten,2,0,0,36,0
Kein Schlag / Other,1,4,15,0,1
