label,precision,recall,f1-score,support
Vorhand,0.9818181818181818,0.9529411764705882,0.9671641791044776,170.0
Rueckhand,0.945054945054945,0.9052631578947369,0.9247311827956989,95.0
Schlaeger drehen,0.7727272727272727,0.9622641509433962,0.8571428571428571,53.0
Aufschlag von unten,0.972972972972973,0.9473684210526315,0.96,38.0
Kein Schlag / Other,0.05555555555555555,0.047619047619047616,0.05128205128205128,21.0
accuracy,0.8912466843501327,0.8912466843501327,0.8912466843501327,0.8912466843501327
macro avg,0.7456257856257855,0.76309119079608,0.752064054065017,377.0
weighted avg,0.890672402608742,0.8912466843501327,0.8892649000499924,377.0
