search_rank,candidate_rank_seed_order,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,event_count,feature_count,session_count,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
1,14,600,6,2,0.5,12.0,entropy,balanced,377.0,164.0,3.0,0.8912466843501327,0.7630911907960801,0.7456257856257856,0.7630911907960801,0.752064054065017,0.8892649000499921
2,9,600,10,3,log2,12.0,entropy,balanced_subsample,377.0,164.0,3.0,0.8992042440318302,0.7571657222968632,0.7404099821746881,0.7571657222968632,0.7464879459980713,0.8950398133771923
3,1,200,6,4,0.5,12.0,gini,,377.0,164.0,3.0,0.8912466843501327,0.7517634263238563,0.7456191650764286,0.7517634263238563,0.7441765330119622,0.8790974604684753
4,3,200,6,2,0.75,8.0,entropy,balanced_subsample,377.0,164.0,3.0,0.8912466843501327,0.7527075179624978,0.7328502391192966,0.7527075179624978,0.7416800720188663,0.8859829692802587
5,7,300,4,4,log2,8.0,gini,balanced,377.0,164.0,3.0,0.8938992042440318,0.7512868742333081,0.7343020368834396,0.7512868742333081,0.7407324815605237,0.8908618244139532
6,16,300,6,1,0.75,,entropy,balanced_subsample,377.0,164.0,3.0,0.8885941644562334,0.7515310473742625,0.7314821919852135,0.7515310473742625,0.7401792948740231,0.8848791487676946
7,4,300,6,4,sqrt,8.0,entropy,balanced_subsample,377.0,164.0,3.0,0.8859416445623343,0.747578713709913,0.7341076800580637,0.747578713709913,0.7395972143798231,0.8877008548672717
8,11,200,4,1,log2,,entropy,balanced,377.0,164.0,3.0,0.8992042440318302,0.7475027746947835,0.7378511339406862,0.7475027746947835,0.7394757266175656,0.8909705508742056
9,12,800,4,3,log2,12.0,gini,balanced,377.0,164.0,3.0,0.8912466843501327,0.7490028623167241,0.7317184951800336,0.7490028623167241,0.7388657842771711,0.8893500470930088
10,6,200,4,2,0.5,24.0,entropy,balanced_subsample,377.0,164.0,3.0,0.8912466843501327,0.7577229978386588,0.7222449460519449,0.7577229978386588,0.7381323173310396,0.8864288724825606
11,2,200,2,4,0.5,12.0,gini,balanced,377.0,164.0,3.0,0.8726790450928382,0.7435434312751914,0.7335960221409138,0.7435434312751914,0.7359601373935277,0.8771534743197726
12,5,800,6,3,0.75,12.0,entropy,balanced_subsample,377.0,164.0,3.0,0.8806366047745358,0.7429861557333957,0.7288131538131538,0.7429861557333957,0.7345100868157257,0.8780552008575301
13,8,300,4,2,0.75,16.0,gini,balanced_subsample,377.0,164.0,3.0,0.8594164456233422,0.740818973070857,0.7298085037325543,0.740818973070857,0.7336324521522166,0.8677977325203334
14,15,300,6,2,0.5,8.0,entropy,balanced_subsample,377.0,164.0,3.0,0.8806366047745358,0.746333313861791,0.7223309585064979,0.746333313861791,0.733072228280369,0.8795597833250856
15,13,800,4,4,0.5,8.0,gini,,377.0,164.0,3.0,0.8912466843501327,0.7443448799579414,0.7257286042009156,0.7443448799579414,0.7324887768187702,0.877035151069592
16,10,400,2,1,sqrt,8.0,entropy,,377.0,164.0,3.0,0.8859416445623343,0.7262164846077457,0.7336593104362377,0.7262164846077457,0.7276732605519576,0.8820846550915391
