fold,test_session,train_events,test_events,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
1,fritz_1_Labeled.csv,230,147,0.8707482993197279,0.720897529958425,0.7801932367149759,0.720897529958425,0.7474992495534228,0.920279793130827
2,fritz_2_Labeled.csv,292,85,0.9294117647058824,0.6666666666666666,0.4957627118644068,0.5,0.49786324786324787,0.9235796882855706
3,fritz_3_Labeled.csv,232,145,0.8896551724137931,0.7915343915343915,0.9141088516746411,0.7915343915343915,0.7673472553265394,0.8561846217467348
